SampleID	uniqID	filename_prefix	temperature	ph	orp	salinity	conductivity	tds	depthlayer	site	site_depthlayer	depth_cm	Nitrogen_Store	OC_Store	OC_percent	moisture_content	cell_abundance	particle_size_analysis	sand_percent	silt_percent	clay_percent	old_name
SB-C1-L1	SB-C1-L1	2022-SB-C1-L1	28.4	5.87	49	30.8	46.7	23.4	Top	SB	SB_Top	10	2.45	49.76	1.76	44.06	67800000	284.98	75.9	12.63	11.35	2022-SB-C1-L1
SB-C1-L3	SB-C1-L3	2022-SB-C1-L4	28.6	5.87	49	30.8	46.7	23.4	Top 	SB	SB_Top 	30	4.62	128.29	4.46	62.81	110000000	2.63	9.781	31.93	58.296	2022-SB-C1-L3
SB-C1-L5	SB-C1-L5	2022-SB-C1-L8	28.5	5.87	49	30.8	46.7	23.4	Middle	SB	SB_Middle	50	4.27	164.19	5.41	68.8	171000000	10.52	16.86	79.95	3.2	2022-SB-C1-L5
SB-C2-L1	SB-C2-L1	2022-SB-C2-L1	28.1	6.91	-15	31.1	46.7	23.4	Top	SB	SB_Top	10	3.67	70.95	2.51	37.71	925000000	4.17	13.64	41.8	44.555	2022-SB-C2-L1
SB-C2-L4	SB-C2-L4	2022-SB-C2-L4	28.4	6.91	-15	31.1	46.7	23.4	Middle	SB	SB_Middle	40	3.86	122.87	4.22	56.04	716000000	6.16	15.68	49.02	35.3	2022-SB-C2-L4
SB-C2-L8	SB-C2-L8	2022-SB-C2-L8	28.1	6.91	-15	31.1	46.7	23.4	Bottom	SB	SB_Bottom	80	1.77	142.07	0.93	33.28	430000000	4.17	84.79	6.33	8.76	2022-SB-C2-L8
SB-C3-L1	SB-C3-L1	2022-SB-C3-L1	28.1	7.11	-21.8	33.65	49.61	24.81	Top	SB	SB_Top	10	4.32	111.57	6.9	60.44	687000000	237.19	77.93	21	1.07	2022-SB-C3-L1
SB-C3-L1-B	SB-C3-L1-B	2022-SB-C3-L1--B-	28.1	7.11	-21.8	33.65	49.61	24.81	Top	SB	SB_Top	10	4.32	111.57	6.9	60.44	687000000	237.19	77.93	21	1.07	2022-SB-C3-L1--B-
SB-C3-L5	SB-C3-L5	2022-SB-C3-L5	28.1	7.11	-21.8	33.65	49.61	24.81	Middle	SB	SB_Middle	50	5.68	155.48	5.13	85.89	337000000	37.75	45.08	51.41	3.52	2022-SB-C3-L5
SB-C3-L10	SB-C3-L10	2022-SB-C3-L10	28.1	7.11	-21.8	33.65	49.61	24.81	Bottom	SB	SB_Bottom	100	4.89	116.72	3.35	67.06	330000000	39.58	46.11	52.01	1.89	2022-SB-C3-L10
PL-C1-L1	PL-C1-L1	2022-PL-C1-L1	26.2	6.93	-20	23.5	35.8	13.2	Top	PL	PL_Top	10	15.63	403.14	7.33	72.65	3150000000	1.84	1.51	16.26	78.06	2022-PL-C1-L1
PL-C1-L4	PL-C1-L4	2022-PL-C1-L4	27.5	6.93	-20	23.5	35.8	13.2	Middle	PL	PL_Middle	40	16.13	509.51	9.44	98.56	3580000000	3.81	1.12	52.86	41.94	2022-PL-C1-L4
PL-C1-L7	PL-C1-L7	2022-PL-C1-L7	26.9	6.93	-20	23.5	35.8	13.2	Bottom	PL	PL_Bottom	80	17.62	618.8	9.98	106.61	3370000000	5.73	2.65	65.2	30.34	2022-PL-C1-L7
PL-C2-L1-B	PL-C2-L1-B	2022-PL-C2-L1--B-	29.3	6.74	-6	24	37.5	19.1	Top	PL	PL_Top	10	8.28	149.48	2.72	52.3	1640000000	1.15	1.44	0.14	98.42	2022-PL-C2-L1--B-
PL-C2-L1	PL-C2-L1	2022-PL-C2-L1	29.3	6.74	-6	24	37.5	19.1	Top	PL	PL_Top	10	8.28	149.48	2.72	52.3	1640000000	1.15	1.44	0.14	98.42	2022-PL-C2-L1
PL-C2-L4	PL-C2-L4	2022-PL-C2-L4	28.6	6.74	-6	24	37.5	19.1	Middle	PL	PL_Middle	40	7.57	214	3.96	53.28	1090000000	2.48	3.35	34.18	62.475	2022-PL-C2-L4
PL-C2-L8	PL-C2-L8	2022-PL-C2-L8	28.7	6.74	-6	24	37.5	19.1	Bottom	PL	PL_Bottom	80	11.09	354.98	5.73	57.1	1810000000	1.56	0.85	5.31	87.8	2022-PL-C2-L8
PL-C3-L1	PL-C3-L1	2022-PL-C3-L1-	29.3	7.15	-2	21.45	42.89	21.45	Top	PL	PL_Top	10	13.52	280.13	5.09	73.87	2820000000	1.32	2.51	3.42	84.8	2022-PL-C3-L1
PL-C3-L5	PL-C3-L5	2022-PL-C3-L5	28.5	7.15	-2	21.45	42.89	21.45	Middle	PL	PL_Middle	50	10.39	470.26	7.02	105.56	2320000000	1.52	2.17	12.68	76.95	2022-PL-C3-L5
PL-C3-L10	PL-C3-L10	2022-PL-C3-L10	28.7	7.15	-2	21.45	42.89	21.45	Bottom	PL	PL_Bottom	100	18.34	483.76	7.8	99.02	1630000000	7.87	3.09	74.42	21.66	2022-PL-C3-L10
KS-C1-L1	KS-C1-L1	KS-C1-L1	29	7.2	-7.4	31.53	48.4	24.27	Top	KS	KS_Top	10	23.99	559.1	7.68	99.6	1830000000	3.12	1.77	44.6	48.87	2022-KS-C1-L1
KS-C1-L5	KS-C1-L5	KS-C1-L5	29	7.2	-7.4	31.53	48.4	24.27	Middle	KS	KS_Middle	50	13.3	333.03	3.89	79.28	838000000	8.13	8.79	71.52	19.31	2022-KS-C1-L5
KS-C1-L10	KS-C1-L10	KS-C1-L10	29	7.2	-7.4	31.53	48.4	24.27	Bottom	KS	KS_Bottom	100	13.86	222.07	2.3	86.13	395000000	7.13	0.82	81.09	17.75	2022-KS-C1-L10
KS-C2-L1	KS-C2-L1	KS-C2-L1	30	6.99	-4.7	20.82	35.45	17.2	Top	KS	KS_Top	10	16.36	199.93	4.36	91.32	1830000000	2.53	2.62	32.19	60.74	2022-KS-C2-L1
KS-C2-L5	KS-C2-L5	KS-C2-L5	30	6.99	-4.7	20.82	35.45	17.2	Middle	KS	KS_Middle	50	15.15	243.56	2.84	95.09	699000000	3.15	6.99	40.22	47.52	2022-KS-C2-L5
KS-C2-L10	KS-C2-L10	KS-C2-L10	28	6.99	-4.7	20.82	35.45	17.2	Bottom	KS	KS_Bottom	100	13.23	158.76	1.65	102.24	865000000	5.27	4.4	59.53	33.74	2022-KS-C2-L10
KS-C3-L1	KS-C3-L1	KS-C3-L1	30	6.76	-7.8	37.47	56.6	28.3	Top	KS	KS_Top	10	20.22	248.35	3.41	90.36	1880000000	2.09	1.69	21.51	72.85	2022-KS-C3-L1
KS-C3-L5	KS-C3-L5	KS-C3-L5	29	6.76	-7.8	37.47	56.6	28.3	Middle	KS	KS_Middle	50	14.21	177.72	2.07	83.46	239000000	2.31	1.56	28.64	65.13	2022-KS-C3-L5
KS-C3-L10	KS-C3-L10	KS-C3-L10	31	6.76	-7.8	37.47	56.6	28.3	Bottom	KS	KS_Bottom	100	14.33	176.2	1.83	70.03	654000000	11.12	10.28	85.79	3.93	2022-KS-C3-L10
KS-C4-L2	KS-C4-L2	KS-C4-L2							Top	KS	KS_Top	10	16.16	213.97	2.94	80.5	328000000	1.52	1.55	5.64	86.6	2022-KS-C4-L2
KS-C4-L5	KS-C4-L5	KS-C4-L5							Middle	KS	KS_Middle	50	14.37	172.32	2.01	82.63	216000000	2.23	1.11	23.74	71.16	2022-KS-C4-L5
KS-C5-L1	KS-C5-L1	KS-C5-L1	30	7.36	-4.6	29.83	45.6	23.25	Top	KS	KS_Top	10	18.08	190.12	2.61	91.73	188000000	5.35	4.76	62.73	31.08	2022-KS-C5-L1
KS-C5-L5	KS-C5-L5	KS-C5-L5	30	7.36	-4.6	29.83	45.6	23.25	Middle	KS	KS_Middle	50	14.71	186.69	2.18	78.83	155000000	4.85	2.21	60.21	35.41	2022-KS-C5-L5
KS-C5-L8	KS-C5-L8	KS-C5-L8	30	7.36	-4.6	29.83	45.6	23.25	Bottom	KS	KS_Bottom	100	14.94	175.04	1.87	75.37	204000000	6.38	1.5	51.31	45.45	2022-KS-C5-L8
MB-C1-L1	MB-C1-L1	2022-MB-C1-L1-	28.6	7.67	-58	29.2	44.4	22.2	Top	MB	MB_Top	10	3.66	37.88	0.56	0.256816424	97996525.49	209.01952	96.79	3.11	0.1	2021-MB-C1-L1
MB-C2-L1	MB-C2-L1	2021-MB-C2-L1	28.3	7.66	-61	29.2	44.2	22.2	Top	MB	MB_Top	10	1.92	25.04	0.35	0.260262375	1861971596	176.34268	89.23	7.81	2.97	2021-MB-C2-L1
MB-C2-L1-B	MB-C2-L1-B	2022-MB-C2-L1	28.3	7.66	-61	29.2	44.2	22.2	Top	MB	MB_Top	10	1.92	25.04	0.35	0.260262375	1861971596	176.34268	89.23	7.81	2.97	2022-MB-C2-L1
MB-C3-L1	MB-C3-L1	2022-MB-C3-L1-	27.8	7.68	-62	29.5	44.8	22.4	Top	MB	MB_Top	10	2.66	19.4	0.28	0.245882265	464729142.9	150.38495	94.08	4.69	1.24	2021-MB-C3-L1
