	K00169: porA	K00170: porB	K00171: porD	K00172: porC, porG	K03737: por, nifJ	K01007: pps, ppsA	K01006: ppdK	K01595: ppc	K01959: pycA	K01960: pycB	K01958: PC, pyc	K00024: mdh	K01676: E4.2.1.2A, fumA, fumB	K01679: E4.2.1.2B, fumC, FH	K01677: E4.2.1.2AA, fumA	K01678: E4.2.1.2AB, fumB	K00239: sdhA, frdA	K00240: sdhB, frdB	K00241: sdhC, frdC	K00242: sdhD, frdD	K00244: frdA	K00245: frdB	K00246: frdC	K00247: frdD	K01902: sucD	K01903: sucC	K00174: korA, oorA, oforA	K00175: korB, oorB, oforB	K00177: korC, oorC	K00176: korD, oorD	K00031: IDH1, IDH2, icd	K01681: ACO, acnA	K01682: acnB	K15230: aclA	K15231: aclB	K15232: ccsA
KS-C5-L8	16595.0	21155.0	14047.0	21276.0	13611.85	28493.95	35639.36	6183.47	977.33	16150.67	1992.75	34800.21	4560.14	18686.94	13822.91	13822.91	36786.87	30286.54	24554.710000000003	5446.27	521.44	187.77	182.77	17.1	39959.20999999999	39957.70999999999	52957.94	49849.77	17303.0	16991.0	25352.870000000003	32854.39	4454.6	38.0	38.0	88.0
MB-C1-L1	10775.73	12067.08	4976.58	12481.73	15864.650000000003	33459.14000000001	39572.530000000006	9984.830000000002	1247.25	11616.91	5886.37	38743.240000000005	14084.529999999995	31030.910000000007	4195.959999999999	4195.959999999999	39919.1	39123.7	35108.20000000001	8064.329999999999	576.6600000000001	1215.5800000000002	1068.8300000000002	100.0	40626.77	40611.77	53332.27	47514.44000000001	19510.7	19618.7	36005.75	40699.55000000002	4102.25	226.25	226.25	27.0
MB-C2-L1	20756.71	23377.0	16481.0	23757.71	14409.13	32497.4	36857.310000000005	2609.2700000000004	325.0	14914.5	4989.650000000001	35529.93000000001	7680.91	17600.359999999997	15830.31	15830.31	32789.060000000005	26727.35000000001	22358.35000000001	1945.7	699.37	358.87	355.37	48.870000000000005	38952.18000000001	38949.18000000001	62479.45	57460.95	23864.91	23492.91	20596.85	30400.17000000001	2781.3700000000003	8.5	8.5	0.0
MB-C2-L1-B	5672.469999999999	6700.76	2312.26	6957.469999999999	12929.74	30389.64	34206.99999999999	16473.25	1188.59	8679.27	6494.959999999999	39391.35	16015.56	32474.34	2210.92	2210.92	41369.3	40957.34	37606.5	12103.08	1042.23	1308.39	1138.14	260.79999999999995	41009.09	40998.59	42770.07	39042.23	13133.06	13112.31	39309.17999999999	40215.35	6183.0	204.75	204.75	17.0
MB-C3-L1	7222.6	8649.67	3035.17	8800.6	12366.790000000005	30170.1	36628.09999999999	14525.8	1249.0	8718.34	6823.6	39856.77	14861.12	32971.59999999999	2328.6	2328.6	41326.93999999999	40888.50999999999	37340.51	10597.770000000002	598.94	1029.02	989.27	153.1	41078.09999999999	41059.09999999999	44727.86	40632.19	14156.94	14143.44	38269.1	41751.44999999999	4350.27	111.25	111.25	42.0
PL-C1-L1	7364.79	7807.5	2386.5	7903.79	11182.96	28129.34	38903.64	15008.31	1187.0	8268.5	5254.98	38856.91	14282.11	37039.01	1909.05	1909.05	43454.11000000001	42811.82	38737.57	14437.93	524.1	1378.6	1366.1	219.1	42740.24	42732.74	43521.68	39165.68	15461.6	15653.1	35172.01	43052.7	3647.6	154.0	154.0	475.0
PL-C1-L4	12753.94	13698.33	7272.33	13819.94	12581.4	32608.6	40629.08000000001	11154.529999999995	764.0	12907.76	4314.53	38392.32000000001	12545.130000000005	31284.91999999999	6176.339999999998	6181.339999999998	41055.35000000001	38495.91	34514.90999999999	9972.35	600.93	969.43	944.93	127.6	42109.39000000001	42092.89000000001	53725.16999999999	47955.26999999999	21321.680000000004	21544.180000000004	31593.01999999999	39576.77	2483.85	112.5	112.5	501.0
PL-C1-L7	29285.5	31682.5	26639.5	31977.5	9018.27	43291.56	30704.000000000004	1551.26	128.0	26253.9	2049.88	39611.00000000001	4095.96	12322.04	23764.730000000003	23764.730000000003	36941.79000000001	22688.45	19901.28	703.37	104.20000000000002	91.7	88.2	12.7	42897.96	42890.96	65009.51999999999	58636.51999999999	22124.520000000004	22844.520000000004	16880.440000000002	22632.07	2397.87	24.5	24.5	0.0
PL-C2-L1	5926.0	6643.0	1106.0	6389.0	8350.0	20002.86	36016.95999999999	15578.84	1871.0	3560.0	6340.48	40823.29000000001	9843.0	35422.99	2586.3	2586.3	44163.960000000014	43963.460000000014	40025.79000000001	15296.0	658.0	2249.5	2255.5	414.5	43113.12	43097.62	30825.390000000003	29747.390000000003	4322.9	4515.9	37650.990000000005	43680.460000000014	3175.0	286.0	286.0	645.0
PL-C2-L1-B	4416.0	4894.0	834.0	4787.67	6875.55	18036.23	37083.74000000002	15587.78	906.5	2202.0	7209.13	40129.77000000002	9508.76	35946.97000000002	2342.35	2342.35	44245.34000000001	44649.84000000001	38636.83	13827.67	593.1	1883.6	1883.6	337.1	42885.69000000002	42845.69000000002	32205.600000000013	31457.600000000013	3904.95	3999.95	34989.220000000016	43706.56000000001	2278.43	195.5	195.5	1206.0
