	K00925: ackA	K00625: E2.3.1.8, pta	K01895: ACSS1_2, acs	K00193: cdhC	K00197: cdhE, acsC	K00194: cdhD, acsD	K00577: mtrA	K00578: mtrB	K00579: mtrC	K00580: mtrD	K00581: mtrE	K00582: mtrF	K00583: mtrG	K00584: mtrH	K00399: mcrA	K00401: mcrB	K00402: mcrG	K03388: hdrA2	K03389: hdrB2	K03390: hdrC2	K08264: hdrD	K08265: hdrE	K14127: mvhD, vhuD, vhcD	K14126: mvhA, vhuA, vhcA	K14128: mvhG, vhuG, vhcG	K00125: fdhB
PL-C2-L1-B	23861.88000000001	3373.15	53100.29000000002	27.0	1025.8	957.75	4.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	9.0	9.0	9.0	4844.65	2572.35	1061.55	7.0	0.0	609.5	279.5	138.5	51.0
PL-C2-L4	21586.219999999998	4966.42	48700.85999999999	903.0	12755.05	10239.75	16.0	6.0	6.0	6.0	6.0	6.0	6.0	912.0	92.0	92.0	92.0	44580.35	18573.3	11047.0	86.0	6.0	8131.0	3739.0	4326.0	270.0
PL-C2-L8	22946.63	4802.82	55236.49999999999	156.0	4366.45	4222.25	4.0	2.0	2.0	2.0	2.0	2.0	2.0	159.0	71.0	71.0	71.0	19009.99	8566.54	3873.34	67.0	2.0	3021.5	1168.0	948.0	123.0
PL-C3-L1	23839.85	4507.83	52422.0	73.0	5192.75	5057.25	4.0	4.0	4.0	4.0	4.0	4.0	4.0	73.0	41.0	41.0	41.0	25346.93	11135.43	4669.43	39.0	4.0	3377.0	1118.0	803.0	295.5
PL-C3-L10	14176.160000000002	3173.53	46766.93999999999	2520.5	19301.38	19201.58	89.0	1.5	1.5	1.5	1.5	1.5	1.5	2642.0	1633.5	1633.5	1633.5	55576.7	29301.09	21355.63	1524.5	1.5	19229.33	14326.0	15717.0	410.33
PL-C3-L5	19827.15	3992.33	52742.42	1047.5	10792.0	10619.25	23.0	3.5	3.5	3.5	3.5	3.5	3.5	1075.0	562.5	562.5	562.5	42697.5	19526.25	10075.25	501.5	3.5	9235.5	4942.5	5311.5	560.0
SB-C1-L1	23103.32	4332.18	56820.09999999999	264.0	13456.84	13380.59	39.0	0.0	0.0	0.0	0.0	0.0	0.0	269.0	226.0	226.0	226.0	61551.58	27265.2	12162.52	103.0	0.0	10544.34	3952.0	3748.0	804.34
SB-C1-L3	19209.86	4177.06	56508.42	518.0	18500.8	18304.55	5.0	0.0	0.0	0.0	0.0	0.0	0.0	522.0	394.0	394.0	394.0	80853.95999999999	34319.96	18130.46	287.0	0.0	15093.0	6569.0	6320.0	673.0
SB-C1-L5	16450.08	3605.38	54188.95	1160.0	21506.5	21395.25	19.0	4.0	4.0	4.0	4.0	4.0	4.0	1172.0	925.0	925.0	925.0	86232.75	37705.75	21757.25	718.0	4.0	18803.5	9965.0	10269.0	856.0
SB-C2-L1	23269.52	4738.12	56967.24000000001	75.0	8814.17	8765.67	4.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	51.0	51.0	51.0	47392.2	19041.51	8018.17	48.0	0.0	6909.17	1679.0	1438.0	672.67
SB-C2-L4	23321.9	4505.91	55426.53999999999	206.0	8922.5	8846.5	24.0	0.0	0.0	0.0	0.0	0.0	0.0	207.0	149.0	149.0	149.0	42737.21	18387.21	8061.71	113.0	0.0	7147.0	2654.0	2480.0	696.0
SB-C2-L8	16839.57	3099.15	52115.13999999999	1478.0	19853.2	19632.5	48.0	0.0	0.0	0.0	0.0	0.0	0.0	1492.0	999.0	999.0	999.0	71842.59999999999	33223.4	19862.2	874.0	0.0	18247.5	11040.0	11395.0	685.0
SB-C3-L1	25851.63	4377.75	55969.78999999999	134.0	10708.9	10572.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	134.0	91.0	91.0	91.0	52221.48	23058.08	8681.68	83.0	0.0	7552.0	2672.0	2277.0	816.0
SB-C3-L1-B	25012.43	4540.16	51227.78	265.0	7469.91	7375.809999999999	25.0	7.0	7.0	7.0	7.0	7.0	7.0	268.0	201.0	201.0	201.0	33627.509999999995	16490.54	6997.12	178.0	7.0	5379.66	2108.0	1960.0	304.66
SB-C3-L10	18333.27	3915.12	47495.16999999999	2806.0	17241.52	17083.17	57.0	1.0	1.0	1.0	1.0	1.0	1.0	2884.0	2140.0	2140.0	2140.0	52878.9	28413.11	18684.17	1984.0	1.0	17281.67	11633.0	13487.0	324.67
SB-C3-L5	19540.750000000004	4240.81	50215.76999999998	1843.0	15934.03	15740.08	30.0	8.0	8.0	8.0	8.0	8.0	8.0	1890.0	1245.0	1245.0	1245.0	57733.08	27954.57	15977.21	1132.0	7.0	14466.33	8532.0	9269.0	447.33
