	K00200: fwdA, fmdA	K00201: fwdB, fmdB	K00202: fwdC, fmdC	K00203: fwdD, fmdD	K11261: fwdE, fmdE	K00205: fwdF, fmdF	K11260: fwdG	K00204: fwdH	K00672: ftr	K01499: mch	K00319: mtd	K00320: mer	K00577: mtrA	K00578: mtrB	K00579: mtrC	K00580: mtrD	K00581: mtrE	K00582: mtrF	K00583: mtrG	K00584: mtrH	K00399: mcrA	K00401: mcrB	K00402: mcrG	K03388: hdrA2	K03389: hdrB2	K03390: hdrC2	K08264: hdrD	K08265: hdrE	K14127: mvhD, vhuD, vhcD	K14126: mvhA, vhuA, vhcA	K14128: mvhG, vhuG, vhcG	K00125: fdhB
PL-C2-L1-B	5629.99	5041.99	5582.99	27.0	2676.05	7.0	0.0	0.0	5629.99	5602.99	0.0	304.34000000000003	4.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	9.0	9.0	9.0	4844.65	2572.35	1061.55	7.0	0.0	609.5	279.5	138.5	51.0
PL-C2-L4	3193.17	3184.17	2299.17	909.0	15213.569999999996	93.0	7.0	0.0	3193.17	2305.92	7.0	1153.83	16.0	6.0	6.0	6.0	6.0	6.0	6.0	912.0	92.0	92.0	92.0	44580.35	18573.3	11047.0	86.0	6.0	8131.0	3739.0	4326.0	270.0
PL-C2-L8	3643.83	3497.83	3488.83	158.0	8119.2	70.0	7.0	0.0	3641.83	3494.08	5.0	774.16	4.0	2.0	2.0	2.0	2.0	2.0	2.0	159.0	71.0	71.0	71.0	19009.99	8566.54	3873.34	67.0	2.0	3021.5	1168.0	948.0	123.0
PL-C3-L1	4245.84	4005.84	4166.84	77.0	10530.25	43.0	4.0	0.0	4231.84	4168.84	4.0	445.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	73.0	41.0	41.0	41.0	25346.93	11135.43	4669.43	39.0	4.0	3377.0	1118.0	803.0	295.5
PL-C3-L10	3456.5	3452.0	937.5	2522.0	12903.12	1530.5	7.0	0.0	3456.5	943.5	6.5	2770.5	89.0	1.5	1.5	1.5	1.5	1.5	1.5	2642.0	1633.5	1633.5	1633.5	55576.7	29301.09	21355.63	1524.5	1.5	19229.33	14326.0	15717.0	410.33
PL-C3-L5	4621.33	4609.83	3574.33	1051.0	13972.75	508.5	10.0	0.0	4621.33	3585.08	8.5	1444.42	23.0	3.5	3.5	3.5	3.5	3.5	3.5	1075.0	562.5	562.5	562.5	42697.5	19526.25	10075.25	501.5	3.5	9235.5	4942.5	5311.5	560.0
SB-C1-L1	4322.67	4047.67	4025.67	264.0	22952.61	110.0	7.0	0.0	4322.67	4065.67	7.0	632.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	269.0	226.0	226.0	226.0	61551.58	27265.2	12162.52	103.0	0.0	10544.34	3952.0	3748.0	804.34
SB-C1-L3	3509.5	3423.5	2997.5	518.0	27635.3	293.0	6.0	0.0	3509.5	2997.5	6.0	732.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	522.0	394.0	394.0	394.0	80853.95999999999	34319.96	18130.46	287.0	0.0	15093.0	6569.0	6320.0	673.0
SB-C1-L5	3496.0	3454.0	2344.0	1164.0	26934.75	722.0	4.0	0.0	3496.0	2340.0	4.0	1338.0	19.0	4.0	4.0	4.0	4.0	4.0	4.0	1172.0	925.0	925.0	925.0	86232.75	37705.75	21757.25	718.0	4.0	18803.5	9965.0	10269.0	856.0
SB-C2-L1	4629.5	4371.5	4554.5	75.0	17969.68	48.0	0.0	0.0	4629.5	4554.5	0.0	371.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	51.0	51.0	51.0	47392.2	19041.51	8018.17	48.0	0.0	6909.17	1679.0	1438.0	672.67
SB-C2-L4	4558.84	4332.84	4359.84	206.0	15673.0	122.0	7.0	0.0	4558.84	4359.84	7.0	491.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	207.0	149.0	149.0	149.0	42737.21	18387.21	8061.71	113.0	0.0	7147.0	2654.0	2480.0	696.0
SB-C2-L8	3211.5	3150.5	1724.5	1478.0	21216.7	896.0	22.0	0.0	3211.5	1755.5	22.0	1624.33	48.0	0.0	0.0	0.0	0.0	0.0	0.0	1492.0	999.0	999.0	999.0	71842.59999999999	33223.4	19862.2	874.0	0.0	18247.5	11040.0	11395.0	685.0
SB-C3-L1	4346.5	4201.5	4172.5	134.0	19970.4	83.0	0.0	0.0	4346.5	4218.5	0.0	394.33	10.0	0.0	0.0	0.0	0.0	0.0	0.0	134.0	91.0	91.0	91.0	52221.48	23058.08	8681.68	83.0	0.0	7552.0	2672.0	2277.0	816.0
SB-C3-L1-B	3692.0	3420.5	3422.5	272.0	13381.89	192.0	10.0	0.0	3689.5	3442.0	10.0	493.67	25.0	7.0	7.0	7.0	7.0	7.0	7.0	268.0	201.0	201.0	201.0	33627.509999999995	16490.54	6997.12	178.0	7.0	5379.66	2108.0	1960.0	304.66
SB-C3-L10	4407.0	4355.0	1606.0	2807.0	13296.53	2013.0	29.0	0.0	4407.0	1636.0	29.0	2996.5	57.0	1.0	1.0	1.0	1.0	1.0	1.0	2884.0	2140.0	2140.0	2140.0	52878.9	28413.11	18684.17	1984.0	1.0	17281.67	11633.0	13487.0	324.67
SB-C3-L5	4234.5	4169.5	2359.5	1850.0	17942.02	1146.0	17.0	1.0	4235.5	2406.5	15.0	2012.92	30.0	8.0	8.0	8.0	8.0	8.0	8.0	1890.0	1245.0	1245.0	1245.0	57733.08	27954.57	15977.21	1132.0	7.0	14466.33	8532.0	9269.0	447.33
